address,apn,ord_no,enacted,construction_date,historic_name
1409-1413 R Street,006-0287-017,82-046,6/15/1982,1913-1914,Perfection Bread Company
2513-2519 S Street,010-0044-006,2015-0012,5/12/2015,1949,
2812 S Street,010-0054-007,3911,8/2/1977,unknown,
324 T Street,009-0111-006,3911,8/2/1977,c. 1875,
419 T Street,009-0054-017,3911,8/2/1977,1905,
421-423 T Street,009-0054-016,3911,8/2/1977,c. 1905-1910,
425-427 T Street,009-0054-015,3911,8/2/1977,c. 1905,
430 T Street,009-0113-029,3911,8/2/1977,c. 1910-1915,Potter House
504 T Street,009-0115-004,3911,8/2/1977,1895-1900,
601 T Street,009-0062-021,82-046,6/15/1982,1912,Ms. Rebecca Baker-Fruit
800 T Street,009-0122-029,3911,8/2/1977,1905,
912 T Street,009-0131-008,3911,8/2/1977,c. 1895,
922-924 T Street,009-0131-011,3911,8/2/1977,c. 1890,
1102 T Street & 2013-2015 11th Street,009-0135-023,3911,8/2/1977,1902,
1130 T Street,009-0135-026,3911,8/2/1977,1905-1910,
1209 T Street,009-0082-022,2014-0027,30-Sep-14,1906,
1616 T Street,009-0153-005,3911,8/2/1977,1912,
1716 T Street,009-0155-007,3911,8/2/1977,c. 1907,
1814 T Street,010-0091-004,3911,8/2/1977,c. 1900,
1822 T Street,010-0091-006,3911,8/2/1977,c. 1895-1900,
1831 T Street,010-0022-014,3911,8/2/1977,c. 1895-1900,
2120 T Street,010-0101-0105,3911,8/2/1977,1909,
2200 T Street,010-0103-003,3911,8/2/1977,1910,
2620 T Street,010-0115-008,82-046,6/15/1982,1907-1908,Louis Huber-Retail Grocer
321 U Street,009-0111-014,3911,8/2/1977,c. 1890-1895,
519-521 U Street,009-0115-016,3911,8/2/1977,c. 1875,
909 U Street,009-0131-024,3911,8/2/1977,1908,
1117 U Street,009-0135-016,3911,8/2/1977,c. 1910-1915,
1504 U Street,009-0152-004,3911,8/2/1977,c. 1870,
1505 U Street,009-0151-016,3911,8/2/1977,c. 1880-1885,
1721 U Street,009-0155-017,3911,8/2/1977,c. 1895,
1731 U Street,009-0155-014,3911,8/2/1977,c. 1895,
2110 U Street & 2115 21st Street,010-0102-010,3911,8/2/1977,c. 1883,
2131 U Street,010-0101-021,3911,8/2/1977,c. 1910-1915,
2514 U Street,010-0114-006,3911,8/2/1977,c. 1915,
2523 U Street,010-0113-027,2015-0012,5/12/2015,1912,
317 V Street,009-0112-017,3911,8/2/1977,Unknown,
909 V Street & 915 V Street,009-0132-018,3911,8/2/1977,c. 1894,
1112-1114 V Street,009-0196-006,3911,8/2/1977,c. 1905-1910,
1120 V Street,009-0196-008,3911,8/2/1977,c. 1880,
2120 V Street,010-0166-028,3911,8/2/1977,1915,
2126-2128 V Street,010-0166-029,3911,8/2/1977,1915,
2507-2509 W Street,010-0173-018,2015-0012,5/12/2015,1892,
1801 2nd Street,009-0043-001,82-046,6/15/1982,1912,Thomson-Diggs Company
1800 3rd Street,009-0043-001,82-046,6/15/1982,1912,Thomson-Diggs Company
1000 & 1006 4th Street,006-0087-047,83-115,9/28/1983,1914,California Fruit Building
1906-1908 4th Street & 330 S Street,009-0052-031,82-046,6/15/1982,1898,
1922 4th Street,009-0052-016,3911,8/2/1977,Unknown,
2030 4th Street,009-0111-013,3911,8/2/1977,c. 1895-1900,
1007 6th Street & 600 J Street,006-0091-001,82-046,6/15/1982,1930,Ramona Hotel
2014 6th Street,009-0112-017,3911,8/2/1977,Unknown,
2104 6th Street,009-0116-026,3911,8/2/1977,c. 1885,
3552 7th Avenue,013-0341-083-0000,2012-037,9/4/2012,1963,Shiloh Baptist Church
1015 7th Street,006-0094-001,82-046,6/15/1982,1921,Merchants National Bank
1122-1126 & 1128 7th Street,006-009-1038,82-046,6/15/1982,1910-1911,Hotel Clayton
1909 7th Street,009-0064-001,82-046,6/15/1982,1920,Grace Day Center
523-525 7th Street,002-0102-018,82-029,4/27/1982,1850,
923 7th Street,006-0034-017,82-046,6/15/1982,c. 1857-1858,John Arnold and
400 8th Street,002-0105-002,82-029,4/27/1982,c. 1902-1903,
406 8th Street,002-0105-003,82-029,4/27/1982,c. 1902-1903,
510-512 8th Street,002-0102-022,82-029,4/27/1982,c. 1876-1881,
517 8th Street,002-0104-022,82-029,4/27/1982,1894,
1109 8th Street,006-098-026,82-046,6/15/1982,1887,Lucas Tamale Parlor
1117-1123 8th Street & 809 L Street,006-0098-021,82-046,6/15/1982,American Cash Apartments/ Bel Vue Apartments,
1715 8th ST,006-0175-021,3911,8/2/1977,c. 1870,
511 9th Street,002-0112-002,3911,8/2/1977,c. 1891-1900,
720 9th Street,002-0145-026,2018-049,11/27/2018,1964,Sacramento County Courthouse
1013 & 1015 9th Street,006-0101-001,82-046,6/15/1982,1878-1879,The People’s Acceptance Building
1017-1031 9th Street,006-0101-021,82-046,6/15/1982,1870,I.O.O.F Temple
1107 9th Street,006-0102-001,82-046,6/15/1982,1911,Forum Building
1125 9th Street,006-0102-016,82-046,6/15/1982,Unknown,
1127 & 1129 9th Street,006-0102-016,82-046,6/15/1982,1911,
2016 9th Street,009-0122-014,3911,8/2/1977,c. 1895-1900,
2019-2023 9th Street,009-0131-027,3911,8/2/1977,c. 1900-1905,
2128-2132 9th Street,009-0123-015,3911,8/2/1977,c. 1910-1915,
1129 & 1127 9th Street,006-0102-016,82-046,6/15/1982,1912,Seadler & Hoen
1131 9th Street,006-0102-016,82-046,6/15/1982,1912,
1220 9th Street,006-0155-012,82-046,6/15/1982,1930,
427 10th Street,002-0113-018,82-046,6/15/1982,1868,
508 10th Street,002-0112-011,82-029,4/27/1982,c. 1880-1885,
512-514 10th Street,002-0112-012,82-029,4/27/1982,Unknown,
516 10th Street,002-0112-013,3911,8/2/1977,Unknown,Wilder Home
530 10th Street,002-0112-016,82-077,9/21/1982,1901-1902,
601 10th Street,002-0155-032,82-029,4/27/1982,1905,
604 10th Street,002-0151-011,82-029,4/27/1982,Unknown,
608-610 10th Street,002-0151-012,82-029,4/27/1982,c. 1872,Kuchler Row
1010-1012 10th Street,006-0101-013,82-046,6/15/1982,1912-1913,Ms. Dora Werner-Hair Dresser
1011 10th Street,006-0103-020,82-046,6/15/1982,1938,American Trust Company
1016-1020 10th Street,006-0101-015,82-046,6/15/1982,1925,Hart Brothers Cafeteria
1017 10th Street,006-0103-021,82-046,6/15/1982,1911-1912,
1019-1021 10th Street,006-0103-021,82-046,6/15/1982,1909-1910,Sacramento Glass and Crockery Company
1400 10th Street,006-0211-002,82-046,6/15/1982,1932,California Fruit Exchange Company
1713-1715 10th Street,006-0274-001,82-046,6/15/1982,1911,M.D. Gillmore Meat Market/
1905 & 1907 10th Street,009-0074-003,3911,8/2/1977,1905,
1911 10th Street,009-0074-002,3911,8/2/1977,1907,
1913 10th Street,009-0074-005,3911,8/2/1977,1895,
2112-2114 10th Street,009-0132-012,3911,8/2/1977,1889,
2200 10th Street,009-0197-014,3911,8/2/1977,c. 1888,
405 11th Street,002-0115-004,82-029,4/27/1982,1896-1897,
409 11th Street,002-0115-003,82-029,4/27/1982,1896-1897,
411 11th Street,002-0115-002,82-029,4/27/1982,1896-1897,
415 11th Street,002-0115-001,82-029,4/27/1982,1896-1897,
511 11th Street,002-0116-002,82-029,4/27/1982,1890-1895,
517 11th Street,002-0116-048,82-029,4/27/1982,c. 1895,
614 11th Street,002-0155-039,82-029,4/27/1982,c. 1895,
719 11th Street,002-0156-019,3911,8/2/1977,c. 1870,
915 11th Street,006-0047-001,3911,8/2/1977,1878,
1017-1025 11th Street,006-0105-014,82-046,6/15/1982,1887,Cathedral of the Blessed Sacrament
1020 11th Street & 1029-1031 K Street,006-0103-010,82-046,6/15/1982,1910-1911,Mohr and Yoerk Realty Co.
1106 11th Street,006-0104-005,82-046,6/15/1982,1911-1912,Hotel Regis
1110 11th Street,006-0104-006,82-046,6/15/1982,1913-1914,Howe Apartments
1127-1131 11th Street,006-0106-006,82-046,6/15/1982,1928,Sacramento Medical Dental Building
1801 11th Street,009-0075-009,82-046,6/15/1982,1907-1908,B & G
1906 11th Street,009-0074-009,3911,8/2/1977,c. 1890,
1909-1911 11th Street,009-0076-002,3911,8/2/1977,c. 1900,
1910-1912 11th Street,009-0074-024,3911,8/2/1977,1895,
1914 11th Street,009-0074-025,3911,8/2/1977,c. 1890,
1930 11th Street,009-0074-014,3911,8/2/1977,1895-1900,
2000 11th Street,009-0133-009,3911,8/2/1977,c. 1900,
2004 11th Street,009-0133-010,3911,8/2/1977,c. 1900,
2013-2015 11th Street & 1102 T Street,009-0135-023,3911,8/2/1977,1902,
2006 11th Street,009-0133-011,3911,8/2/1977,c. 1900,
404-408 12th Street,002-0115-011,82-046,6/15/1982,c. 1910-1911,
517 12th Street,002-0122-025,82-046,6/15/1982,1896-1897,Central California
528-530 12th Street,002-0116-011,82-046,6/15/1982,1892-1893,Fred Mason-Shirt Store
619 12th Street,002-0161-020,82-029,4/27/1982,c. 1897,
710-714 12th Street,002-0156-012,82-046,6/15/1982,Unknown,
816 12th Street,006-0046-001,82-046,6/15/1982,1914,Jim Denny’s
1011-1013 12th Street,006-0111-001,82-046,6/15/1982,1923-1924,W.D. Fuller and Company
1711 12th Street,006-0282-002,3911,8/2/1977,c. 1895-1900,
2015 12th Street,009-0141-001,3911,8/2/1977,c.1895-1900,
2127 12th Street,009-0142-022,3911,8/2/1977,c. 1860,
220 13th Street,002-0081-022,3911,8/2/1977,Unknown,
401 13th Street,002-0123-004,3911,8/2/1977,c. 1890,
409 13th Street,002-0123-002,3911,8/2/1977,c. 1880-1890,
411 & 413 13th Street,002-0123-001,3911,8/2/1977,1894,
423 13th Street,002-0123-018,3911,8/2/1977,c. 1910-1915,
501 13th Street,002-0124-004,3911,8/2/1977,c. 1890-1895,
507 13th Street,002-0124-03,3911,8/2/1977,c. 1890-1895,
511 13th Street,002-0124-002,3911,8/2/1977,c. 1887,
611 13th Street,002-0163-002,3911,8/2/1977,c. 1895-1890,
615 13th Street,002-0163-001,3911,8/2/1977,Unknown,
817 13th Street,006-0053-020,3911,8/2/1977,c. 1891-1900,
1712 13th Street,006-0282-016,3911,8/2/1977,c. 1885-1890,
315 14th Street,002-0086-001,3911,8/2/1977,c. 1881,
317 14th Street,002-0086-024,3911,8/2/1977,c. 1890-1895,
319 14th Street,002-0086-023,3911,8/2/1977,c. 1890-1895,
321 14th Street,002-0086-022,3911,8/2/1977,c. 1890-1895,
424 14th Street,002-0123-011,3911,8/2/1977,c. 1890,
425-427 14th Street,002-0125-027,3911,8/2/1977,Unknown,
524 14th Street,002-0124-014,3911,8/2/1977,c. 1880-1885,
610 14th Street,002-0163-014,3911,8/2/1977,Unknown,
617 14th Street,002-0165-023,3911,8/2/1977,c. 1895,
1712 14th Street,006-0285-013,3911,8/2/1977,c. 1890,
1714 14th Street,006-0285-014,3911,8/2/1977,c. 1890,
316 & 318 15th Street,002-0086-013,3911,8/2/1977,c. 1885,
325 15th Street,002-0092-020,3911,8/2/1977,c. 1891,
414 15th Street,002-0125-016,3911,8/2/1977,1901,
509-511 15th Street,002-0132-002,3911,8/2/1977,c. 1897,
514 15th Street,002-0126-009,3911,8/2/1977,c. 1890,
515 15th Street,002-0132-001,3911,8/2/1977,c. 1890,
516 15th Street,002-0126-010,3911,8/2/1977,c. 1885,
519 15th Street,002-0132-024,3911,8/2/1977,c. 1900-1905,
522 15th Street,002-0126-011,3911,8/2/1977,c. 1875-1880,
612 15th Street,002-0165-011,3911,8/2/1977,Unknown,
629 15th Street,002-0171-019,3911,8/2/1977,1861,
1001-1005 15th Street,006-0121-018,3911,8/2/1977,1915,The Maydestone Apartments
1015 15th Street,006-0121-001,82-046,6/15/1982,1927-1928,A.C. Westerguard Auto Repair
1720 15th Street,006-0287-019,2002-031,10/3/2002,1917,Wonder Bread Bakery
2031 15th Street,009-0151-021,3911,8/2/1977,1912,
316-318 16th Street,002-0092-010,82-046,6/15/1982,1923,
614 16th Street,002-0171-009,82-046,6/15/1982,1926-1927,
1315 16th Street,006-0174-001,3911,8/2/1977,Unknown,
1617 16th Street,006-0293-024,3911,8/2/1977,Unknown,
1700-1706 16th Street,006-0292-009,3911,8/2/1977,1915,
1925 & 1926-1930 16th Street,009-0092-023,82-046,6/15/1982,1925-1926,
815 17th Street,006-0065-001,3911,8/2/1977,1910,
1411 17th Street,006-0235-026,3911,8/2/1977,c. 1902,
1511-1515 17th Street,006-0236-001,3911,8/2/1977,c. 1890,
1519 17th Street,006-0236-018,3911,8/2/1977,c. 1890,
1524-1528 17th Street,006-0234-027,3911,8/2/1977,c. 1905-1910,
505 18th Street,003-0122-003,3911,8/2/1977,1891,
509 18th Street,003-0122-002,3911,8/2/1977,Unknown,
617 18th Street,003-0171-022,3911,8/2/1977,1898,
621 18th Street,003-0171-021,3911,8/2/1977,c. 1895-1900,
712 18th Street,002-0176-011,3911,8/2/1977,c. 1900-1905,
714 18th Street,002-0176-012,3911,8/2/1977,c. 1900-1905,
818 18th Street,006-0065-010,3911,8/2/1977,c. 1905,
820 18th Street,006-0065-011,3911,8/2/1977,1905-1910,
1310 18th Street,006-0176-006,3911,8/2/1977,c. 1890,
1312 18th Street,006-0176-006,3911,8/2/1977,1890,
1315 18th Street,007-0142-001,3911,8/2/1977,1905-1910,
1320 18th Street,006-0176-008,3911,8/2/1977,c. 1900-1905,
1417 18th Street,007-0241-023,3911,8/2/1977,c. 1890,
1419 18th Street,007-0241-022,3911,8/2/1977,c. 1890,
1511 18th Street,007-0242-002,3911,8/2/1977,c. 1895,
1520 18th Street,006-0236-010,3911,8/2/1977,c. 1895,
1630 18th Street,006-0295-014,82-046,6/15/1982,c. 1895,
1707 18th Street & 1800 Q Street,007-0312-003,82-046,6/15/1982,"1910-1911, 1926-1927",
2017 18th Street,010-0091-021,3911,8/2/1977,c. 1902,
509 19th Street,003-0124-003,3911,8/2/1977,c. 1905-1910,
705-707 19th Street,003-0174-003,3911,8/2/1977,1904,
709-711 19th Street,003-0174-002,3911,8/2/1977,1904,
1215 19th Street,007-0143-001,83-115,9/28/1983,1893,
1219 19th Street,007-0143-016,3911,8/2/1977,1900-1905,
1312-1314 19th Street,007-0142-013,3911,8/2/1977,c. 1895-1900,
1316-1318 19th Street,007-0142-014,3911,8/2/1977,1900,
1320 19th Street,007-0142-015,3911,8/2/1977,c. 1875,
1510 19th Street,007-0242-012,3911,8/2/1977,c. 1890,
1512 19th Street,007-0242-013,3911,8/2/1977,c. 1890,
1514 19th Street,007-0242-014,3911,8/2/1977,c. 1890,
1809 19th Street,010-0023-014,3911,8/2/1977,c. 1890,
313 20th Street,003-0075-001,3911,8/2/1977,c. 1870-1880,
321 20th Street,003-0075-023,3911,8/2/1977,c. 1890,
601-605 20th Street,003-0175-003,3911,8/2/1977,1918,
923 20th Street,007-0016-016,82-046,6/15/1982,1926,Louis Hageman-Clothing Cleaners
1015 20th Street,007-0085-001,82-046,6/15/1982,1921-1922,Miller-Skelton Funeral Chapel
1320 20th Street,007-0144-008,3911,8/2/1977,1888,
1412 20th Street,007-0243-011,3911,8/2/1977,c. 1910,
1415 20th Street,007-0245-001,3911,8/2/1977,c. 1950,
1819 20th Street,010-0025-018,3911,8/2/1977,c. 1898,
1823 20th Street,010-0025-019,3911,8/2/1977,c. 1898,
401-403 21st Street,003-0131-004,3911,8/2/1977,Unknown,
415 21st Street,003-0131-001,3911,8/2/1977,1905-1910,
501 21st Street,003-0132-004,3911,8/2/1977,c. 1905-1910,
508-510 21st Street,003-0126-011,3911,8/2/1977,c. 1913,
531 21st Street,003-0132-019,3911,8/2/1977,c. 1905-1910,
608-610 21st Street,003-0175-012,3911,8/2/1977,1905-1910,
612 21st Street,003-0175-013,3911,8/2/1977,c. 1910-1915,
626 21st Street,003-0175-015,3911,8/2/1977,1905-1910,
715 21st Street,003-0182-001,3911,8/2/1977,1905-1910,
724 21st Street,003-0176-011,3911,8/2/1977,1905-1910,
725 21st Street,003-0182-015,3911,8/2/1977,1910-1913,
809-811 21st Street,007-0021-002,3911,8/2/1977,c. 1885-1890,
1903 21st Street,010-0032-003,3911,8/2/1977,c. 1898,
1916 21st Street,010-0026-012,3911,8/2/1977,1905-1910,
1922 21st Street,010-0026-014,3911,8/2/1977,c. 1905-1910,
1931 21st Street,010-0032-013,3911,8/2/1977,c. 1900,
2015 21st Street,010-0101-001,3911,8/2/1977,c. 1910-1915,
2019 21st Street,010-0101-019,3911,8/2/1977,c. 1899,
2115 21st Street & 2110 U Street,010-0102-010,3911,8/2/1977,c. 1883,
2116 21st Street,010-0094-025,3911,8/2/1977,c. 1914,J.C. Coffing House/Coronet Portraits
2121 21st Street,010-0102-009,3911,8/2/1977,Unknown,
2201-2205 21st Street,010-0166-027,3911,8/2/1977,Unknown,
2215 21st Street,010-0166-026,3911,8/2/1977,1903,
217 22nd Street,003-0083-016,3911,8/2/1977,1910-1913,
328 22nd Street,003-0082-015,3911,8/2/1977,1910-1915,
505 22nd Street,003-0134-003,3911,8/2/1977,1905-1910,
515 22nd Street,003-0134-001,3911,8/2/1977,1910-1913,
617 22nd Street,003-0183-023,3911,8/2/1977,1905-1910,
618 22nd Street,003-0181-009,3911,8/2/1977,c. 1913,
627 22nd Street,003-0183-021,3911,8/2/1977,1905-1910,
700 22nd Street,003-0182-006,3911,8/2/1977,c. 1910,
711 22nd Street,003-0184-001,3911,8/2/1977,1910,
717 22nd Street,003-0184-022,3911,8/2/1977,1910-1915,
817-819 22nd Street,007-0023-022,3911,8/2/1977,1910-1913,
1026 22nd Street & 2131 K Street,007-0091-006,82-046,6/15/1982,1924-1925,J.F. Giovanetti Groceries
1115 22nd Street,007-0094-001,3911,8/2/1977,1916,
1121 22nd Street,007-0094-021,3911,8/2/1977,c. 1901,
1212 22nd Street,007-0151-010,3911,8/2/1977,1900,
1214 22nd Street,007-0151-011,3911,8/2/1977,1899,
1311 22nd Street,007-0154-002,3911,8/2/1977,1913,
1320 22nd Street,007-0152-021,3911,8/2/1977,1895-1900,
1420 22nd Street,007-0251-014,3911,8/2/1977,1910,
1914 22nd Street,010-0032-009,3911,8/2/1977,c. 1912,
1931 22nd Street,010-0034-019,3911,8/2/1977,c. 1905-1910,
2014 22nd Street,010-0101-008,3911,8/2/1977,c. 1905-1910,
2022 22nd Street,010-0101-010,3911,8/2/1977,c. 1905-1911,
2100 22nd Street,010-0102-003,3911,8/2/1977,1911,
2101 22nd Street,010-0104-024,3911,8/2/1977,1900-1905,
2107 22nd Street,010-0104-002,3911,8/2/1977,c. 1895-1900,
2216 22nd Street,010-0166-031,3911,8/2/1977,c. 1911,
2217 22nd Street,010-0163-024,3911,8/2/1977,c. 1912,
2129 22nd Street,010-0104-020,3911,8/2/1977,c. 1900-1905,
2130 22nd Street,010-0102-006,3911,8/2/1977,1897,
2122 22nd Street,010-0102-005,3911,8/2/1977,c. 1900,
2123 22nd Street,010-0104-018,3911,8/2/1977,1900,
301 23rd Street,003-0086-004,3911,8/2/1977,1915,
324 23rd Street,003-0084-015,3911,8/2/1977,c. 1895,
621 23rd Street,003-0185-020,3911,8/2/1977,c. 1885,
625-629 23rd Street,003-0185-019,3911,8/2/1977,c. 1915,
1006 23rd Street & 2230 J Street,007-0093-009,3911,8/2/1977,c. 1900-1905,
1217 23rd Street,007-0155-018,3911,8/2/1977,c. 1905-1910,
1227 23rd Street,007-0155-017,3911,8/2/1977,1905-1910,
1314 23rd Street,007-0154-012,3911,8/2/1977,1900,
1321 23rd Street,007-0156-022,3911,8/2/1977,1894,
1418 23rd Street,007-0253-010,3911,8/2/1977,c.1885,
1613 23rd Street,007-0325-002,3911,8/2/1977,c.1889,
1929 23rd Street,010-0036-016,3911,8/2/1977,c. 1915,
2014 23rd Street,010-0103-010,3911,8/2/1977,1911,
2015 23rd Street,010-0105-001,3911,8/2/1977,c. 1915,
610 24th Street,003-0185-011,3911,8/2/1977,c. 1895,
1114 24th Street & 2326 K Street,007-0096-006,3911,8/2/1977,c. 1890,
1127 24th Street & 2401 L Street,007-0102-023,3911,8/2/1977,1904,
2791 24th Street,013-0041-001,2005-064,8/16/2005,1921,Sierra School/Sierra Community Center
1215 24th Street,007-0161-001,3911,8/2/1977,c. 1900-1905,
1412 24th Street,007-0255-009,3911,8/2/1977,1890,
1108 25th Street,007-0102-011,3911,8/2/1977,c. 1900,
1114 25th Street,007-0102-012,3911,8/2/1977,c. 1890-1895,
1116 25th Street,007-0102-013,3911,8/2/1977,1901,
1211 25th Street,007-0163-002,3911,8/2/1977,1893,
1316 25th Street,007-0162-009,3911,8/2/1977,1890,
1617 25th Street,007-0333-024,3911,8/2/1977,Unknown,
1619 25th Street,007-0333-023,3911,8/2/1977,1908,
723 26th Street,003-0196-022,3911,8/2/1977,c. 1889,
1017 26th Street,007-0105-022,3911,8/2/1977,c. 1903,
1019 26th Street,007-0105-021,3911,8/2/1977,c. 1906,
1414 26th Street,007-0263-011,2014-0029,30-Sep-14,1911,
1523 26th Street,007-0266-019,3911,8/2/1977,c. 1910,
1615 26th Street,007-0335-001,3911,8/2/1977,c. 1910,
1617 26th Street,007-0335-022,3911,8/2/1977,c. 1910,
1625 26th Street,007-0335-020,3911,8/2/1977,c. 1910,
1817 26th Street,010-0045-019,2001-025,4/24/2001,1909,Traxler House
1819-1821 26th Street,010-0045-018,2015-0012,5/12/2015,c. 1880s,
912-914 27th Street,007-0036-019,3911,8/2/1977,c. 1910-1915,
1008-1014 27th Street,007-0105-010,3911,8/2/1977,1910-1913,
1015 27th Street,007-0111-001,3911,8/2/1977,c. 1911,
1216 27th Street,007-0165-008,3911,8/2/1977,1911,
310 28th Street,003-0102-010,3911,8/2/1977,Unknown,
